age_cat,stab,variable,value
05,All,male,12122679
10,All,male,10651945
15,All,male,10544216
20,All,male,11111861
25,All,male,11685794
30,All,male,11131577
35,All,male,10771353
40,All,male,10109538
45,All,male,10250324
50,All,male,10343329
55,All,male,10900943
60,All,male,10312365
65,All,male,8828410
70,All,male,7127577
75,All,male,4931647
80,All,male,3384288
80+,All,male,3926486
05,All,female,11572862
10,All,female,10125637
15,All,female,10162637
20,All,female,10599928
25,All,female,11114913
30,All,female,10911764
35,All,female,10703362
40,All,female,10172588
45,All,female,10428680
50,All,female,10639117
55,All,female,11352528
60,All,female,10961307
65,All,female,9690734
70,All,female,8025265
75,All,female,5851135
80,All,female,4298647
80+,All,female,6673385
05,AK,male,37553
05,AL,male,175651
05,AR,male,112782
05,AZ,male,258266
05,CA,male,1532673
05,CO,male,202147
05,CT,male,113335
05,DC,male,27102
05,DE,male,32115
05,FL,male,666704
05,GA,male,407928
05,HI,male,54323
05,IA,male,118176
05,ID,male,67900
05,IL,male,477670
05,IN,male,250821
05,KS,male,116216
05,KY,male,165491
05,LA,male,192792
05,MA,male,224981
05,MD,male,224196
05,ME,male,40056
05,MI,male,350779
05,MN,male,219089
05,MO,male,222238
05,MS,male,112368
05,MT,male,37249
05,NC,male,369741
05,ND,male,30366
05,NE,male,76442
05,NH,male,41268
05,NJ,male,318326
05,NM,male,86156
05,NV,male,111145
05,NY,male,718699
05,OH,male,423923
05,OK,male,167367
05,OR,male,138910
05,PA,male,440696
05,RI,male,33871
05,SC,male,182873
05,SD,male,35813
05,TN,male,245474
05,TX,male,1209047
05,UT,male,151970
05,VA,male,311649
05,VT,male,18054
05,WA,male,274272
05,WI,male,210612
05,WV,male,61527
05,WY,male,23877
10,AK,male,24588
10,AL,male,162496
10,AR,male,110751
10,AZ,male,240381
10,CA,male,1301913
10,CO,male,186189
10,CT,male,113205
10,DC,male,13912
10,DE,male,26827
10,FL,male,592771
10,GA,male,374218
10,HI,male,42041
10,IA,male,111479
10,ID,male,68139
10,IL,male,424490
10,IN,male,234064
10,KS,male,104686
10,KY,male,143854
10,LA,male,168498
10,MA,male,196599
10,MD,male,191579
10,ME,male,39341
10,MI,male,323491
10,MN,male,182221
10,MO,male,202866
10,MS,male,116503
10,MT,male,34064
10,NC,male,324311
10,ND,male,23714
10,NE,male,66687
10,NH,male,34159
10,NJ,male,287046
10,NM,male,72751
10,NV,male,101315
10,NY,male,596733
10,OH,male,375867
10,OK,male,140939
10,OR,male,129934
10,PA,male,380595
10,RI,male,29789
10,SC,male,144187
10,SD,male,32616
10,TN,male,216333
10,TX,male,1045503
10,UT,male,139283
10,VA,male,269901
10,VT,male,15138
10,WA,male,236349
10,WI,male,185509
10,WV,male,53852
10,WY,male,18268
15,AK,male,25284
15,AL,male,162100
15,AR,male,97184
15,AZ,male,233458
15,CA,male,1280550
15,CO,male,187425
15,CT,male,117981
15,DC,male,14857
15,DE,male,33160
