"state","puma12","stab","PUMAname","LandSQMI","afact"
"FIPS state","puma12","State Postal Code","PUMA12 Name","Land Area Sq Mls","puma12 to puma12 alloc factor"
"01","00100","AL","Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",2085.318,1 
"01","00200","AL","Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest)",1034.85,1 
"01","00301","AL","Huntsville (North) & Madison (East) Cities",91.175,1 
"01","00302","AL","Huntsville City (Central & South)",62.25,1 
"01","00400","AL","DeKalb & Jackson Counties",1854.961,1 
"01","00500","AL","Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast)",739.095,1 
"01","00600","AL","Morgan & Lawrence Counties--Decatur City",1270.015,1 
"01","00700","AL","Cullman & Winston Counties",1347.819,1 
"01","00800","AL","St. Clair & Blount Counties",1276.678,1 
"01","00900","AL","Etowah County",534.991,1 
"01","01000","AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",3035.086,1 
"01","01100","AL","Calhoun County",605.868,1 
"01","01200","AL","Shelby County",784.93,1 
"01","01301","AL","Birmingham City (West)",42.28,1 
"01","01302","AL","Birmingham City (East)",52.237,1 
"01","01303","AL","Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities",136.356,1 
"01","01304","AL","Jefferson County (Northeast)--Trussville, Center Point & Gardendale Cities",453.475,1 
"01","01305","AL","Jefferson County (West)--Bessemer, Hueytown & Pleasant Grove Cities",426.928,1 
"01","01400","AL","Walker, Marion (South & West), Fayette & Lamar Counties",2574.809,1 
"01","01500","AL","Tuscaloosa (Outer) & Pickens Counties--Northport City (North & West)",2130.18,1 
"01","01600","AL","Tuscaloosa & Northport (Southeast) Cities",72.983,1 
"01","01700","AL","Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties",5492.763,1 
"01","01800","AL","Chilton, Tallapoosa, Chambers & Coosa Counties",2656.832,1 
"01","01900","AL","Lee County--Auburn City",607.536,1 
"01","02000","AL","Montgomery City & Pike Road Town (North)",132.236,1 
"01","02100","AL","Elmore, Autauga, Montgomery (Outer) & Lowndes Counties",2580.842,1 
"01","02200","AL","Southwest Alabama",6941.582,1 
"01","02300","AL","Coffee, Covington, Butler & Crenshaw Counties",3095.097,1 
